HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
3917332 TRIAL1
4067556 TT48
6067236 TON
6177744 STIMON
7196464 STIMOFF
8396464 RESPOFF
8396928 CORRECTREJECT
8397444 TOFF
8397872 TRIAL2
8821572 TT48
10821672 TON
10906972 STIMON
11643084 LICK
11925668 STIMOFF
12174252 LICK
12194788 TOSTART
12195304 TOEND
12557484 LICK
12804908 LICK
13023480 LICK
13125668 RESPOFF
13126164 TOFF
13126624 TRIAL3
13286356 LICK
13560980 LICK
13746296 TT49
13799596 LICK
14051696 LICK
16225332 TON
16313332 STIMON
17332052 STIMOFF
18532052 RESPOFF
18532560 MISS
18533048 TOFF
18533524 TRIAL4
18829640 LICK
18994676 TT49
19229380 LICK
19453468 LICK
19675240 LICK
19916468 LICK
20157252 LICK
20368928 LICK
20573364 LICK
20795584 LICK
20992764 LICK
23112760 TON
23186936 STIMON
24205652 STIMOFF
24646800 LICK
24667344 REWARDON
24767356 REWARDOFF
24924128 LICK
25144252 LICK
25347912 LICK
25405652 RESPOFF
25406144 TOFF
25406612 TRIAL5
25577056 LICK
25777012 TT48
25803684 LICK
25980688 LICK
26193672 LICK
28343324 TON
28434504 STIMON
29453216 STIMOFF
30066492 LICK
30087032 TOSTART
30322204 LICK
30342700 TOSTART
30538684 LICK
30559180 TOSTART
30653216 RESPOFF
30775048 LICK
30795544 TOSTART
31005444 LICK
31025940 TOSTART
31240576 LICK
31261072 TOSTART
31470988 LICK
31491488 TOSTART
31682484 LICK
31702980 TOSTART
31876464 LICK
31896960 TOSTART
32080828 LICK
32101324 TOSTART
39101348 TOEND
39101852 TOFF
39102316 TRIAL6
39671572 TT49
41671732 TON
41758224 STIMON
42776908 STIMOFF
43976908 RESPOFF
43977416 MISS
43977908 TOFF
43978380 TRIAL7
44375480 TT48
45727496 LICK
46031676 LICK
46245732 LICK
46444084 LICK
46698348 LICK
46879972 LICK
47143832 LICK
47353608 LICK
47584100 LICK
47813300 LICK
48046116 LICK
48286500 LICK
48515484 LICK
48744172 LICK
48975000 LICK
49187392 LICK
49418672 LICK
49645920 LICK
49871836 LICK
50113240 LICK
50312124 LICK
50530924 LICK
50714280 LICK
50899304 LICK
51118388 LICK
51308316 LICK
51539868 LICK
53635112 TON
53708616 STIMON
54727308 STIMOFF
55120980 LICK
55141520 TOSTART
55400192 LICK
55420688 TOSTART
55612344 LICK
55632840 TOSTART
55824112 LICK
55844608 TOSTART
55927308 RESPOFF
56049812 LICK
56070308 TOSTART
56254600 LICK
56275100 TOSTART
56458888 LICK
56479384 TOSTART
56688492 LICK
56708988 TOSTART
56856868 LICK
56877368 TOSTART
57056036 LICK
57076532 TOSTART
57219340 LICK
57239836 TOSTART
64239844 TOEND
64240340 TOFF
64240808 TRIAL8
64676316 TT49
