here
HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
946624 TRIAL1
1080108 TT48
3080244 TON
3215852 STIMON
4234568 STIMOFF
5434568 RESPOFF
5435024 CORRECTREJECT
5435548 TOFF
5435972 TRIAL2
5855176 TT48
7855140 TON
7943116 STIMON
8961840 STIMOFF
9153980 LICK
9174468 TOSTART
9174932 TOEND
9419064 LICK
9700292 LICK
9968620 LICK
10161840 RESPOFF
10162348 TOFF
10162812 TRIAL3
10256540 LICK
10597672 TT49
12597300 TON
12682396 STIMON
13153080 LICK
13347680 LICK
13577436 LICK
13701132 STIMOFF
13759696 LICK
13780244 REWARDON
13880276 REWARDOFF
13965600 LICK
14901132 RESPOFF
14901636 TOFF
14902100 TRIAL4
15200056 TT49
17200176 TON
17290772 STIMON
18309488 STIMOFF
19509488 RESPOFF
19509992 MISS
19510484 TOFF
19510956 TRIAL5
20224016 TT48
22224936 TON
22313752 STIMON
23332468 STIMOFF
24532468 RESPOFF
24532976 CORRECTREJECT
24533548 TOFF
24534024 TRIAL6
25086900 TT48
27086884 TON
27177884 STIMON
28196604 STIMOFF
29396604 RESPOFF
29397116 CORRECTREJECT
29397680 TOFF
29398160 TRIAL7
29785132 TT49
31786016 TON
31875188 STIMON
32235604 LICK
32386024 LICK
32523076 LICK
32780964 LICK
32893912 STIMOFF
32912432 LICK
32932972 REWARDON
33032984 REWARDOFF
33051372 LICK
33200264 LICK
33340936 LICK
33485208 LICK
33597188 LICK
33705532 LICK
33882928 LICK
34047752 LICK
34093912 RESPOFF
34094424 TOFF
34094884 TRIAL8
34683136 TT48
36682804 TON
36770284 STIMON
37789004 STIMOFF
38989004 RESPOFF
38989508 CORRECTREJECT
38990080 TOFF
38990552 TRIAL9
39297720 TT49
41298996 TON
41378728 STIMON
42397444 STIMOFF
