HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
145268 TRIAL1
149996 TT32
163312 TON
391444 STIMON
1410140 STIMOFF
1410140 RESPOFF
1411052 CORRECTREJECT
1411580 TOFF
1416692 TRIAL2
1433360 TT10
1447920 TON
1891656 STIMON
2910380 STIMOFF
2910380 RESPOFF
2911300 CORRECTREJECT
2911824 TOFF
2916928 TRIAL3
2933600 TT10
2948160 TON
3491668 STIMON
4510384 STIMOFF
4510384 RESPOFF
4511304 CORRECTREJECT
4511836 TOFF
4516932 TRIAL4
4533600 TT10
4548160 TON
5007796 STIMON
6026516 STIMOFF
6026516 RESPOFF
6027440 CORRECTREJECT
6027964 TOFF
6033068 TRIAL5
6049740 TT10
6064300 TON
6739692 STIMON
